# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database 
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-11-08 07:47:43 EST       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07229445 Stanley Draper Lake near Oklahoma City, OK
# -----------------------------------------------------------------------------------
#
# Data provided for site 07229445
#            TS   parameter     statistic     Description
#        111413       00054     30800     Reservoir storage, acre-feet (Observation at 08:00 AM)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	111413_00054_30800	111413_00054_30800_cd
USGS	07229445	2000-02-14	88000	A
USGS	07229445	2000-02-15	88000	A
USGS	07229445	2000-02-16	88000	A
USGS	07229445	2000-02-17	88000	A
USGS	07229445	2000-02-18	88200	A
USGS	07229445	2000-02-19	88100	A
USGS	07229445	2000-02-20	88100	A
USGS	07229445	2000-02-21	88100	A
USGS	07229445	2000-02-22	88200	A
USGS	07229445	2000-02-23	88400	A
USGS	07229445	2000-02-24	88400	A
USGS	07229445	2000-02-25	88600	A
USGS	07229445	2000-02-26	88600	A
USGS	07229445	2000-02-27	88600	A
USGS	07229445	2000-02-28	88600	A
USGS	07229445	2000-02-29	88600	A
USGS	07229445	2000-03-01	88600	A
USGS	07229445	2000-03-02	88600	A
USGS	07229445	2000-03-03	88700	A
USGS	07229445	2000-03-04	88700	A
USGS	07229445	2000-03-05	88700	A
USGS	07229445	2000-03-06	88700	A
USGS	07229445	2000-03-07	88800	A
USGS	07229445	2000-03-08	88900	A
USGS	07229445	2000-03-09	88900	A
USGS	07229445	2000-03-10	88800	A
USGS	07229445	2000-03-11	88900	A
USGS	07229445	2000-03-12	88800	A
USGS	07229445	2000-03-13	88800	A
USGS	07229445	2000-03-14	88800	A
USGS	07229445	2000-03-15	88900	A
USGS	07229445	2000-03-16	89000	A
USGS	07229445	2000-03-17	89000	A
USGS	07229445	2000-03-18	89100	A
USGS	07229445	2000-03-19	89200	A
USGS	07229445	2000-03-20	89200	A
USGS	07229445	2000-03-21	89200	A
USGS	07229445	2000-03-22	89300	A
USGS	07229445	2000-03-23	89400	A
USGS	07229445	2000-03-24	89500	A
USGS	07229445	2000-03-25	89500	A
USGS	07229445	2000-03-26	89500	A
USGS	07229445	2000-03-27	89500	A
USGS	07229445	2000-03-28	89500	A
USGS	07229445	2000-03-29	89500	A
USGS	07229445	2000-03-30	89500	A
USGS	07229445	2000-03-31	89500	A
USGS	07229445	2000-04-01	89500	A
USGS	07229445	2000-04-02	89600	A
USGS	07229445	2000-04-03	89600	A
USGS	07229445	2000-04-04	89600	A
USGS	07229445	2000-04-05	89600	A
USGS	07229445	2000-04-06	89600	A
USGS	07229445	2000-04-07	89500	A
USGS	07229445	2000-04-08	89500	A
USGS	07229445	2000-04-09	89500	A
USGS	07229445	2000-04-10	89400	A
USGS	07229445	2000-04-11	89500	A
USGS	07229445	2000-04-12	89500	A
USGS	07229445	2000-04-13	89600	A
USGS	07229445	2000-04-14	89500	A
USGS	07229445	2000-04-15	89500	A
USGS	07229445	2000-04-16	89700	A
USGS	07229445	2000-04-17	89600	A
USGS	07229445	2000-04-18	89600	A
USGS	07229445	2000-04-19	89700	A
USGS	07229445	2000-04-20	89700	A
USGS	07229445	2000-04-21	89600	A
USGS	07229445	2000-04-22	89600	A
USGS	07229445	2000-04-23	89600	A
USGS	07229445	2000-04-24	89600	A
USGS	07229445	2000-04-25	89600	A
USGS	07229445	2000-04-26	89500	A
USGS	07229445	2000-04-27	89600	A
USGS	07229445	2000-04-28	89600	A
USGS	07229445	2000-04-29	89500	A
USGS	07229445	2000-04-30	89500	A
USGS	07229445	2000-05-01	90400	A
USGS	07229445	2000-05-02	90300	A
USGS	07229445	2000-05-03	90300	A
USGS	07229445	2000-05-04	90300	A
USGS	07229445	2000-05-05	90300	A
USGS	07229445	2000-05-06	90300	A
USGS	07229445	2000-05-07	90300	A
USGS	07229445	2000-05-08	90400	A
USGS	07229445	2000-05-09	90400	A
USGS	07229445	2000-05-10	90300	A
USGS	07229445	2000-05-11	90200	A
USGS	07229445	2000-05-12	90300	A
USGS	07229445	2000-05-13	90200	A
USGS	07229445	2000-05-14	90100	A
USGS	07229445	2000-05-15	90100	A
USGS	07229445	2000-05-16	90000	A
USGS	07229445	2000-05-17	89900	A
USGS	07229445	2000-05-18	90000	A
USGS	07229445	2000-05-19	89800	A
USGS	07229445	2000-05-20	89700	A
USGS	07229445	2000-05-21	89700	A
USGS	07229445	2000-05-22	89600	A
USGS	07229445	2000-05-23	89600	A
USGS	07229445	2000-05-24	89500	A
USGS	07229445	2000-05-25	89600	A
USGS	07229445	2000-05-26	89600	A
USGS	07229445	2000-05-27	89500	A
USGS	07229445	2000-05-28	89500	A
USGS	07229445	2000-05-29	89400	A
USGS	07229445	2000-05-30	89300	A
USGS	07229445	2000-05-31	89300	A
USGS	07229445	2000-06-01	89200	A
USGS	07229445	2000-06-02	89000	A
USGS	07229445	2000-06-03	89300	A
USGS	07229445	2000-06-04	89300	A
USGS	07229445	2000-06-05	89300	A
USGS	07229445	2000-06-06	89200	A
USGS	07229445	2000-06-07	89100	A
USGS	07229445	2000-06-08	89000	A
USGS	07229445	2000-06-09	88900	A
USGS	07229445	2000-06-10	88900	A
USGS	07229445	2000-06-11	88900	A
USGS	07229445	2000-06-12	88900	A
USGS	07229445	2000-06-13	88900	A
USGS	07229445	2000-06-14	88900	A
USGS	07229445	2000-06-15	88800	A
USGS	07229445	2000-06-16	88800	A
USGS	07229445	2000-06-17	89200	A
USGS	07229445	2000-06-18	89300	A
USGS	07229445	2000-06-19	89300	A
USGS	07229445	2000-06-20	89400	A
USGS	07229445	2000-06-21	89400	A
USGS	07229445	2000-06-22	89500	A
USGS	07229445	2000-06-23	89500	A
USGS	07229445	2000-06-24	89500	A
USGS	07229445	2000-06-25	89500	A
USGS	07229445	2000-06-26	89600	A
USGS	07229445	2000-06-27	89700	A
USGS	07229445	2000-06-28	89800	A
USGS	07229445	2000-06-29	90000	A
USGS	07229445	2000-06-30	90000	A
USGS	07229445	2000-07-01	90000	A
USGS	07229445	2000-07-02	90100	A
USGS	07229445	2000-07-03	90200	A
USGS	07229445	2000-07-04	90200	A
USGS	07229445	2000-07-05	90200	A
USGS	07229445	2000-07-06	90200	A
USGS	07229445	2000-07-07	90100	A
USGS	07229445	2000-07-08	90100	A
USGS	07229445	2000-07-09	90000	A
USGS	07229445	2000-07-10	89900	A
USGS	07229445	2000-07-11	89800	A
USGS	07229445	2000-07-12	89800	A
USGS	07229445	2000-07-13	89700	A
USGS	07229445	2000-07-14	89600	A
USGS	07229445	2000-07-15	89500	A
USGS	07229445	2000-07-16	89400	A
USGS	07229445	2000-07-17	89300	A
USGS	07229445	2000-07-18	89200	A
USGS	07229445	2000-07-19	89100	A
USGS	07229445	2000-07-20	89000	A
USGS	07229445	2000-07-21	89000	A
USGS	07229445	2000-07-22	89200	A
USGS	07229445	2000-07-23	89000	A
USGS	07229445	2000-07-24	88900	A
USGS	07229445	2000-07-25	88800	A
USGS	07229445	2000-07-26	88700	A
USGS	07229445	2000-07-27	88700	A
USGS	07229445	2000-07-28	88700	A
USGS	07229445	2000-07-29	88800	A
USGS	07229445	2000-07-30	88800	A
USGS	07229445	2000-07-31	88700	A
USGS	07229445	2000-08-01	88700	A
USGS	07229445	2000-08-02	88600	A
USGS	07229445	2000-08-03	88500	A
USGS	07229445	2000-08-04	88500	A
USGS	07229445	2000-08-05	88400	A
USGS	07229445	2000-08-06	88300	A
USGS	07229445	2000-08-07	88100	A
USGS	07229445	2000-08-08	88000	A
USGS	07229445	2000-08-09	87900	A
USGS	07229445	2000-08-10	87800	A
USGS	07229445	2000-08-11	87700	A
USGS	07229445	2000-08-12	87600	A
USGS	07229445	2000-08-13	87500	A
USGS	07229445	2000-08-14	87300	A
USGS	07229445	2000-08-15	87100	A
USGS	07229445	2000-08-16	87000	A
USGS	07229445	2000-08-17	86900	A
USGS	07229445	2000-08-18	86800	A
USGS	07229445	2000-08-19	86700	A
USGS	07229445	2000-08-20	86500	A
USGS	07229445	2000-08-21	86300	A
USGS	07229445	2000-08-22	86200	A
USGS	07229445	2000-08-23	86000	A
USGS	07229445	2000-08-24	85900	A
USGS	07229445	2000-08-25	85700	A
USGS	07229445	2000-08-26	85600	A
USGS	07229445	2000-08-27	85400	A
USGS	07229445	2000-08-28	85300	A
USGS	07229445	2000-08-29	85100	A
USGS	07229445	2000-08-30	84900	A
USGS	07229445	2000-08-31	84800	A
USGS	07229445	2000-09-01	84600	A
USGS	07229445	2000-09-02	84400	A
USGS	07229445	2000-09-03	84300	A
USGS	07229445	2000-09-04	84200	A
USGS	07229445	2000-09-05	84000	A
USGS	07229445	2000-09-06	83800	A
USGS	07229445	2000-09-07	83700	A
USGS	07229445	2000-09-08	83600	A
USGS	07229445	2000-09-09	83500	A
USGS	07229445	2000-09-10	83400	A
USGS	07229445	2000-09-11	83200	A
USGS	07229445	2000-09-12	83100	A
USGS	07229445	2000-09-13	83000	A
USGS	07229445	2000-09-14	82800	A
USGS	07229445	2000-09-15	82700	A
USGS	07229445	2000-09-16	82600	A
USGS	07229445	2000-09-17	82400	A
USGS	07229445	2000-09-18	82300	A
USGS	07229445	2000-09-19	82100	A
USGS	07229445	2000-09-20	82000	A
USGS	07229445	2000-09-21	81800	A
USGS	07229445	2000-09-22	81600	A
USGS	07229445	2000-09-23	81600	A
USGS	07229445	2000-09-24	82000	A
USGS	07229445	2000-09-25	81800	A
USGS	07229445	2000-09-26	81800	A
USGS	07229445	2000-09-27	81700	A
USGS	07229445	2000-09-28	81700	A
USGS	07229445	2000-09-29	81600	A
USGS	07229445	2000-09-30	81500	A
USGS	07229445	2000-10-01	81400	A
USGS	07229445	2000-10-02	81300	A
USGS	07229445	2000-10-03	81200	A
USGS	07229445	2000-10-04	81100	A
USGS	07229445	2000-10-05	80900	A
USGS	07229445	2000-10-06	80800	A
USGS	07229445	2000-10-07	80600	A
USGS	07229445	2000-10-08	80600	A
USGS	07229445	2000-10-09	80500	A
USGS	07229445	2000-10-10	80300	A
USGS	07229445	2000-10-11	80200	A
USGS	07229445	2000-10-12	80100	A
USGS	07229445	2000-10-13	80000	A
USGS	07229445	2000-10-14	80000	A
USGS	07229445	2000-10-15	80000	A
USGS	07229445	2000-10-16	80600	A
USGS	07229445	2000-10-17	80600	A
USGS	07229445	2000-10-18	80500	A
USGS	07229445	2000-10-19	80500	A
USGS	07229445	2000-10-20	80400	A
USGS	07229445	2000-10-21	80400	A
USGS	07229445	2000-10-22	80500	A
USGS	07229445	2000-10-23	82200	A
USGS	07229445	2000-10-24	82200	A
USGS	07229445	2000-10-25	82200	A
USGS	07229445	2000-10-26	82800	A
USGS	07229445	2000-10-27	82800	A
USGS	07229445	2000-10-28	82800	A
USGS	07229445	2000-10-29	83000	A
USGS	07229445	2000-10-30	83000	A
USGS	07229445	2000-10-31	83000	A
USGS	07229445	2000-11-01	82900	A
USGS	07229445	2000-11-02	83100	A
USGS	07229445	2000-11-03	83100	A
USGS	07229445	2000-11-04	83300	A
USGS	07229445	2000-11-05	83300	A
USGS	07229445	2000-11-06	83400	A
USGS	07229445	2000-11-07	83400	A
USGS	07229445	2000-11-08	83400	A
USGS	07229445	2000-11-09	83600	A
USGS	07229445	2000-11-10	83600	A
USGS	07229445	2000-11-11	83500	A
USGS	07229445	2000-11-12	83600	A
USGS	07229445	2000-11-13	83500	A
USGS	07229445	2000-11-14	83400	A
USGS	07229445	2000-11-15	83400	A
USGS	07229445	2000-11-16	83400	A
USGS	07229445	2000-11-17	83300	A
USGS	07229445	2000-11-18	83300	A
USGS	07229445	2000-11-19	83300	A
USGS	07229445	2000-11-20	83300	A
USGS	07229445	2000-11-21	83300	A
USGS	07229445	2000-11-22	83300	A
USGS	07229445	2000-11-23	83300	A
USGS	07229445	2000-11-24	83500	A
USGS	07229445	2000-11-25	83600	A
USGS	07229445	2000-11-26	83600	A
USGS	07229445	2000-11-27	83600	A
USGS	07229445	2000-11-28	83600	A
USGS	07229445	2000-11-29	83600	A
USGS	07229445	2000-11-30	83500	A
USGS	07229445	2000-12-01	83500	A
USGS	07229445	2000-12-02	83500	A
USGS	07229445	2000-12-03	83500	A
USGS	07229445	2000-12-04	83400	A
USGS	07229445	2000-12-05	83500	A
USGS	07229445	2000-12-06	83500	A
USGS	07229445	2000-12-07	83400	A
USGS	07229445	2000-12-08	83400	A
USGS	07229445	2000-12-09	83400	A
USGS	07229445	2000-12-10	83400	A
USGS	07229445	2000-12-11	83400	A
USGS	07229445	2000-12-12	83400	A
USGS	07229445	2000-12-13	83600	A
USGS	07229445	2000-12-14	83600	A
USGS	07229445	2000-12-15	83600	A
USGS	07229445	2000-12-16	83500	A
USGS	07229445	2000-12-17	83600	A
USGS	07229445	2000-12-18	83600	A
USGS	07229445	2000-12-19	83500	A
USGS	07229445	2000-12-20	83500	A
USGS	07229445	2000-12-21	83500	A
USGS	07229445	2000-12-22	83500	A
USGS	07229445	2000-12-23	83500	A
USGS	07229445	2000-12-24	83500	A
USGS	07229445	2000-12-25	83400	A
USGS	07229445	2000-12-26	83600	A
USGS	07229445	2000-12-27	83600	A
USGS	07229445	2000-12-28	83600	A
USGS	07229445	2000-12-29	83400	A
USGS	07229445	2000-12-30	83400	A
USGS	07229445	2000-12-31	83400	A
USGS	07229445	2001-01-01	83400	A
USGS	07229445	2001-01-02	83400	A
USGS	07229445	2001-01-03	83400	A
USGS	07229445	2001-01-04	83400	A
USGS	07229445	2001-01-05	83400	A
USGS	07229445	2001-01-06	83500	A
USGS	07229445	2001-01-07	83600	A
USGS	07229445	2001-01-08	83600	A
USGS	07229445	2001-01-09	83700	A
USGS	07229445	2001-01-10	83700	A
USGS	07229445	2001-01-11	83900	A
USGS	07229445	2001-01-12	83900	A
USGS	07229445	2001-01-13	84000	A
USGS	07229445	2001-01-14	84100	A
USGS	07229445	2001-01-15	84100	A
USGS	07229445	2001-01-16	84200	A
USGS	07229445	2001-01-17	84300	A
USGS	07229445	2001-01-18	84400	A
USGS	07229445	2001-01-19	84400	A
USGS	07229445	2001-01-20	84400	A
USGS	07229445	2001-01-21	84500	A
USGS	07229445	2001-01-22	84600	A
USGS	07229445	2001-01-23	84600	A
USGS	07229445	2001-01-24	84700	A
USGS	07229445	2001-01-25	84700	A
USGS	07229445	2001-01-26	84800	A
USGS	07229445	2001-01-27	84900	A
USGS	07229445	2001-01-28	85100	A
USGS	07229445	2001-01-29	85500	A
USGS	07229445	2001-01-30	85500	A
USGS	07229445	2001-01-31	85600	A
USGS	07229445	2001-02-01	85700	A
USGS	07229445	2001-02-02	85700	A
USGS	07229445	2001-02-03	85800	A
USGS	07229445	2001-02-04	85900	A
USGS	07229445	2001-02-05	85900	A
USGS	07229445	2001-02-06	86000	A
USGS	07229445	2001-02-07	86000	A
USGS	07229445	2001-02-08	86100	A
USGS	07229445	2001-02-09	86300	A
USGS	07229445	2001-02-10	86400	A
USGS	07229445	2001-02-11	86400	A
USGS	07229445	2001-02-12	86500	A
USGS	07229445	2001-02-13	86600	A
USGS	07229445	2001-02-14	86600	A
USGS	07229445	2001-02-15	86900	A
USGS	07229445	2001-02-16	87000	A
USGS	07229445	2001-02-17	87100	A
USGS	07229445	2001-02-18	87100	A
USGS	07229445	2001-02-19	87200	A
USGS	07229445	2001-02-20	87300	A
USGS	07229445	2001-02-21	87300	A
USGS	07229445	2001-02-22	87400	A
USGS	07229445	2001-02-23	87800	A
USGS	07229445	2001-02-24	88000	A
USGS	07229445	2001-02-25	88000	A
USGS	07229445	2001-02-26	87800	A
USGS	07229445	2001-02-27	87700	A
USGS	07229445	2001-02-28	87600	A
USGS	07229445	2001-03-01	87400	A
USGS	07229445	2001-03-02	87400	A
USGS	07229445	2001-03-03	87200	A
USGS	07229445	2001-03-04	87100	A
USGS	07229445	2001-03-05	86900	A
USGS	07229445	2001-03-06	86800	A
USGS	07229445	2001-03-07	86600	A
USGS	07229445	2001-03-08	86500	A
USGS	07229445	2001-03-09	86400	A
USGS	07229445	2001-03-10	86200	A
USGS	07229445	2001-03-11	86100	A
USGS	07229445	2001-03-12	86100	A
USGS	07229445	2001-03-13	85900	A
USGS	07229445	2001-03-14	85800	A
USGS	07229445	2001-03-15	85700	A
USGS	07229445	2001-03-16	85500	A
USGS	07229445	2001-03-17	85400	A
USGS	07229445	2001-03-18	85300	A
USGS	07229445	2001-03-19	85100	A
USGS	07229445	2001-03-20	85000	A
USGS	07229445	2001-03-21	84800	A
USGS	07229445	2001-03-22	84700	A
USGS	07229445	2001-03-23	84500	A
USGS	07229445	2001-03-24	84300	A
USGS	07229445	2001-03-25	84200	A
USGS	07229445	2001-03-26	84100	A
USGS	07229445	2001-03-27	83900	A
USGS	07229445	2001-03-28	84000	A
USGS	07229445	2001-03-29	84100	A
USGS	07229445	2001-03-30	84200	A
USGS	07229445	2001-03-31	84300	A
USGS	07229445	2001-04-01	84400	A
USGS	07229445	2001-04-02	84400	A
USGS	07229445	2001-04-03	84600	A
USGS	07229445	2001-04-04	84600	A
USGS	07229445	2001-04-05	84700	A
USGS	07229445	2001-04-06	84800	A
USGS	07229445	2001-04-07	84900	A
USGS	07229445	2001-04-08	84900	A
USGS	07229445	2001-04-09	85000	A
USGS	07229445	2001-04-10	85100	A
USGS	07229445	2001-04-11	85300	A
USGS	07229445	2001-04-12	85100	A
USGS	07229445	2001-04-13	85000	A
USGS	07229445	2001-04-14	85000	A
USGS	07229445	2001-04-15	85100	A
USGS	07229445	2001-04-16	85100	A
USGS	07229445	2001-04-17	85100	A
USGS	07229445	2001-04-18	85100	A
USGS	07229445	2001-04-19	85100	A
USGS	07229445	2001-04-20	85100	A
USGS	07229445	2001-04-21	85200	A
USGS	07229445	2001-04-22	85300	A
USGS	07229445	2001-04-23	85500	A
USGS	07229445	2001-04-24	85500	A
USGS	07229445	2001-04-25	85600	A
USGS	07229445	2001-04-26	85600	A
USGS	07229445	2001-04-27	85600	A
USGS	07229445	2001-04-28	85600	A
USGS	07229445	2001-04-29	85600	A
USGS	07229445	2001-04-30	85600	A
USGS	07229445	2001-05-01	85600	A
USGS	07229445	2001-05-02	85600	A
USGS	07229445	2001-05-03	85600	A
USGS	07229445	2001-05-04	85700	A
USGS	07229445	2001-05-05	85900	A
USGS	07229445	2001-05-06	86000	A
USGS	07229445	2001-05-07	86000	A
USGS	07229445	2001-05-08	86100	A
USGS	07229445	2001-05-09	86100	A
USGS	07229445	2001-05-10	86100	A
USGS	07229445	2001-05-11	86100	A
USGS	07229445	2001-05-12	86200	A
USGS	07229445	2001-05-13	86200	A
USGS	07229445	2001-05-14	86200	A
USGS	07229445	2001-05-15	86100	A
USGS	07229445	2001-05-16	86100	A
USGS	07229445	2001-05-17	86100	A
USGS	07229445	2001-05-18	86600	A
USGS	07229445	2001-05-19	86600	A
USGS	07229445	2001-05-20	86700	A
USGS	07229445	2001-05-21	86400	A
USGS	07229445	2001-05-22	86700	A
USGS	07229445	2001-05-23	86700	A
USGS	07229445	2001-05-24	86700	A
USGS	07229445	2001-05-25	86600	A
USGS	07229445	2001-05-26	86600	A
USGS	07229445	2001-05-27	86600	A
USGS	07229445	2001-05-28	86700	A
USGS	07229445	2001-05-29	86700	A
USGS	07229445	2001-05-30	87400	A
USGS	07229445	2001-05-31	87500	A
USGS	07229445	2001-06-01	87500	A
USGS	07229445	2001-06-02	87500	A
USGS	07229445	2001-06-03	87500	A
USGS	07229445	2001-06-04	87500	A
USGS	07229445	2001-06-05	87300	A
USGS	07229445	2001-06-06	87100	A
USGS	07229445	2001-06-07	86900	A
USGS	07229445	2001-06-08	86700	A
USGS	07229445	2001-06-09	86600	A
USGS	07229445	2001-06-10	86600	A
USGS	07229445	2001-06-11	86500	A
USGS	07229445	2001-06-12	86500	A
USGS	07229445	2001-06-13	86400	A
USGS	07229445	2001-06-14	86400	A
USGS	07229445	2001-06-15	86400	A
USGS	07229445	2001-06-16	86300	A
USGS	07229445	2001-06-17	86200	A
USGS	07229445	2001-06-18	86200	A
USGS	07229445	2001-06-19	86100	A
USGS	07229445	2001-06-20	86000	A
USGS	07229445	2001-06-21	86000	A
USGS	07229445	2001-06-22	85900	A
USGS	07229445	2001-06-23	85900	A
USGS	07229445	2001-06-24	85900	A
USGS	07229445	2001-06-25	85800	A
USGS	07229445	2001-06-26	85700	A
USGS	07229445	2001-06-27	85600	A
USGS	07229445	2001-06-28	85500	A
USGS	07229445	2001-06-29	85600	A
USGS	07229445	2001-06-30	85600	A
USGS	07229445	2001-07-01	85600	A
USGS	07229445	2001-07-02	85600	A
USGS	07229445	2001-07-03	85500	A
USGS	07229445	2001-07-04	85400	A
USGS	07229445	2001-07-05	85300	A
USGS	07229445	2001-07-06	85200	A
USGS	07229445	2001-07-07	85100	A
USGS	07229445	2001-07-08	84900	A
USGS	07229445	2001-07-09	84800	A
USGS	07229445	2001-07-10	84700	A
USGS	07229445	2001-07-11	84500	A
USGS	07229445	2001-07-12	84400	A
