VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Guyana,2019,1013.01654,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Guyana,2020,1014.987418,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Guyana,2021,1005.696232,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Haiti,2019,26.61185878,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Haiti,2020,26.2673766,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Haiti,2021,25.94437299,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Honduras,2019,582.8653148,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Honduras,2020,573.4827026,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Honduras,2021,564.7461727,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Hungary,2019,26.23877944,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Hungary,2020,26.29589051,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Hungary,2021,26.40634922,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Iceland,2019,6392.090339,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Iceland,2020,6289.323613,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Iceland,2021,6227.064685,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,India,2019,178.9172862,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,India,2020,177.2163676,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,India,2021,175.8091868,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Indonesia,2019,89.02915563,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Indonesia,2020,88.28409923,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Indonesia,2021,87.67289949,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Iran (Islamic Republic of),2019,513.3968889,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Iran (Islamic Republic of),2020,509.126976,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Iran (Islamic Republic of),2021,505.4601599,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Iraq,2019,3652.241196,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Iraq,2020,3566.982096,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Iraq,2021,3486.962436,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Ireland,2019,177.4911413,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Ireland,2020,175.6933062,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Ireland,2021,174.2696218,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Italy,2019,168.2228007,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Italy,2020,168.8655836,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Italy,2021,169.6074308,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Jamaica,2019,1.936901093,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Jamaica,2020,1.932325357,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Jamaica,2021,1.927364868,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Japan,2019,250.2031196,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Japan,2020,251.2957009,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Japan,2021,252.5706685,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Jordan,2019,25.69662079,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Jordan,2020,25.15573414,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Jordan,2021,24.66031077,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Kazakhstan,2019,4262.866598,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Kazakhstan,2020,4212.333442,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Kazakhstan,2021,4164.667818,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Kenya,2019,486.4488646,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Kenya,2020,476.7702822,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Kenya,2021,467.5971681,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Kyrgyzstan,2019,3727.281885,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Kyrgyzstan,2020,3668.554434,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Kyrgyzstan,2021,3610.742641,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Lao People's Democratic Republic,2019,1472.534936,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Lao People's Democratic Republic,2020,1450.9388,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Lao People's Democratic Republic,2021,1430.29205,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Latvia,2019,524.3783768,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Latvia,2020,529.7693474,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Latvia,2021,536.3092001,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Lebanon,2019,39.4333565,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Lebanon,2020,40.26189302,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Lebanon,2021,40.76793195,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Lesotho,2019,1291.006163,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Lesotho,2020,1274.741582,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Lesotho,2021,1259.457784,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Liberia,2019,47.86081609,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Liberia,2020,46.89848856,m3/inhab,E,False
Water resources,Exploitable water resources and dam capacity,Dam capacity per capita,Liberia,2021,45.94278602,m3/inhab,E,False
