# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database 
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2025-03-23 17:34:41 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08109900 Somerville Lk nr Somerville, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 08109900
#            TS   parameter     statistic     Description
#        135358       62614     00001     Lake or reservoir water surface elevation above NGVD 1929, feet (Maximum)
#        135359       62614     00002     Lake or reservoir water surface elevation above NGVD 1929, feet (Minimum)
#        135360       62614     00003     Lake or reservoir water surface elevation above NGVD 1929, feet (Mean)
#        135361       62614     32400     Lake or reservoir water surface elevation above NGVD 1929, feet (Observation at midnight)
#        135362       00054     00001     Reservoir storage, acre-feet (Maximum)
#        135363       00054     00002     Reservoir storage, acre-feet (Minimum)
#        135364       00054     00003     Reservoir storage, acre-feet (Mean)
#        135365       00054     32400     Reservoir storage, acre-feet (Observation at midnight)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	135358_62614_00001	135358_62614_00001_cd	135359_62614_00002	135359_62614_00002_cd	135360_62614_00003	135360_62614_00003_cd	135361_62614_32400	135361_62614_32400_cd	135362_00054_00001	135362_00054_00001_cd	135363_00054_00002	135363_00054_00002_cd	135364_00054_00003	135364_00054_00003_cd	135365_00054_32400	135365_00054_32400_cd
USGS	08109900	1996-05-03							238.21	A							162900	A
USGS	08109900	1996-05-04							238.18	A							162800	A
USGS	08109900	1996-05-05							238.15	A							162400	A
USGS	08109900	1996-05-06							238.13	A							162300	A
USGS	08109900	1996-05-07							238.10	A							161800	A
USGS	08109900	1996-05-08							238.08	A							161500	A
USGS	08109900	1996-05-09							238.04	A							161300	A
USGS	08109900	1996-05-10							238.01	A							160700	A
USGS	08109900	1996-05-11							237.97	A							160200	A
USGS	08109900	1996-05-12							237.93	A							159800	A
USGS	08109900	1996-05-13							237.91	A							159400	A
USGS	08109900	1996-05-14							237.89	A							159300	A
USGS	08109900	1996-05-15							237.87	A							159200	A
USGS	08109900	1996-05-16							237.84	A							159200	A
USGS	08109900	1996-05-17							237.79	A							158100	A
USGS	08109900	1996-05-18							237.70	A							157000	A
USGS	08109900	1996-05-19							237.62	A							156000	A
USGS	08109900	1996-05-20							237.51	A							154700	A
USGS	08109900	1996-05-21							237.38	A							153300	A
USGS	08109900	1996-05-22							237.21	A							151400	A
USGS	08109900	1996-05-23							237.02	A							149200	A
USGS	08109900	1996-05-24							236.83	A							147300	A
USGS	08109900	1996-05-25							236.63	A							145100	A
USGS	08109900	1996-05-26							236.45	A							143100	A
USGS	08109900	1996-05-27							236.31	A							141700	A
USGS	08109900	1996-05-28							236.13	A							139800	A
USGS	08109900	1996-05-29							235.95	A							138200	A
USGS	08109900	1996-05-30							235.90	A							137300	A
USGS	08109900	1996-05-31							235.81	A							136600	A
USGS	08109900	1996-06-01							235.76	A							135800	A
USGS	08109900	1996-06-02							235.67	A							134800	A
USGS	08109900	1996-06-03							235.59	A							134200	A
USGS	08109900	1996-06-04							235.57	A							133900	A
USGS	08109900	1996-06-05							235.49	A							133100	A
USGS	08109900	1996-06-06							235.41	A							132300	A
USGS	08109900	1996-06-07							235.37	A							131900	A
USGS	08109900	1996-06-08							235.28	A							131000	A
USGS	08109900	1996-06-09							235.19	A							130100	A
USGS	08109900	1996-06-10							235.11	A							129200	A
USGS	08109900	1996-06-11							235.03	A							128400	A
USGS	08109900	1996-06-12							234.95	A							127700	A
USGS	08109900	1996-06-13							234.88	A							126900	A
USGS	08109900	1996-06-14							234.80	A							126100	A
USGS	08109900	1996-06-15							234.71	A							125200	A
USGS	08109900	1996-06-16							234.66	A							124800	A
USGS	08109900	1996-06-17							234.77	A							124700	A
USGS	08109900	1996-06-18							234.78	A							124600	A
USGS	08109900	1996-06-19							234.79	A							124400	A
USGS	08109900	1996-06-20							234.79	A							123000	A
USGS	08109900	1996-06-21							234.79	A							120800	A
USGS	08109900	1996-06-22							234.79	A							118700	A
USGS	08109900	1996-06-23							233.87	A							117100	A
USGS	08109900	1996-06-24							233.68	A							115200	A
USGS	08109900	1996-06-25							233.59	A							114400	A
USGS	08109900	1996-06-26							233.64	A							115000	A
USGS	08109900	1996-06-27							233.64	A							115000	A
USGS	08109900	1996-06-28							233.64	A							114800	A
USGS	08109900	1996-06-29							233.61	A							114700	A
USGS	08109900	1996-06-30							233.60	A							114600	A
USGS	08109900	1996-07-01							233.58	A							114400	A
USGS	08109900	1996-07-02							233.58	A							114200	A
USGS	08109900	1996-07-03							233.55	A							114100	A
USGS	08109900	1996-07-04							233.51	A							113900	A
USGS	08109900	1996-07-05							233.51	A							113700	A
USGS	08109900	1996-07-06							233.48	A							113400	A
USGS	08109900	1996-07-07							233.46	A							113300	A
USGS	08109900	1996-07-08							233.43	A							113000	A
USGS	08109900	1996-07-09							233.39	A							112500	A
USGS	08109900	1996-07-10							233.29	A							111600	A
USGS	08109900	1996-07-11							233.20	A							110800	A
USGS	08109900	1996-07-12							233.14	A							110200	A
USGS	08109900	1996-07-13							233.12	A							110100	A
USGS	08109900	1996-07-14							233.09	A							109900	A
USGS	08109900	1996-07-15							233.08	A							109700	A
USGS	08109900	1996-07-16							233.06	A							109500	A
USGS	08109900	1996-07-17							232.98	A							108800	A
USGS	08109900	1996-07-18							232.98	A							108800	A
USGS	08109900	1996-07-19							233.01	A							109000	A
USGS	08109900	1996-07-20							232.99	A							108800	A
USGS	08109900	1996-07-21							232.99	A							108800	A
USGS	08109900	1996-07-22							233.01	A							109000	A
USGS	08109900	1996-07-23							232.90	A							107700	A
USGS	08109900	1996-07-24							232.89	A							107700	A
USGS	08109900	1996-07-25							232.97	A							108700	A
USGS	08109900	1996-07-26							232.96	A							108800	A
USGS	08109900	1996-07-27							232.95	A							108500	A
USGS	08109900	1996-07-28							232.97	A							108600	A
USGS	08109900	1996-07-29							232.91	A							108100	A
USGS	08109900	1996-07-30							232.94	A							108200	A
USGS	08109900	1996-07-31							232.98	A							107600	A
USGS	08109900	1996-08-01							232.90	A							107900	A
USGS	08109900	1996-08-02							232.93	A							108600	A
USGS	08109900	1996-08-03							232.82	A							107200	A
USGS	08109900	1996-08-04							232.77	A							106800	A
USGS	08109900	1996-08-05							232.71	A							106200	A
USGS	08109900	1996-08-06							232.66	A							105900	A
USGS	08109900	1996-08-07							232.64	A							105800	A
USGS	08109900	1996-08-08							232.63	A							105700	A
USGS	08109900	1996-08-09							232.61	A							105600	A
USGS	08109900	1996-08-10							232.62	A							105500	A
USGS	08109900	1996-08-11							232.64	A							101800	A
USGS	08109900	1996-08-12							232.62	A							101700	A
USGS	08109900	1996-08-13							232.59	A							101400	A
USGS	08109900	1996-08-14							232.57	A							101200	A
USGS	08109900	1996-08-15							232.55	A							104900	A
USGS	08109900	1996-08-16							232.53	A							104800	A
USGS	08109900	1996-08-17							232.51	A							104600	A
USGS	08109900	1996-08-18							232.54	A							104800	A
USGS	08109900	1996-08-19							232.53	A							104700	A
USGS	08109900	1996-08-20							232.50	A							104500	A
USGS	08109900	1996-08-21							232.46	A							104100	A
USGS	08109900	1996-08-22							232.44	A							104000	A
USGS	08109900	1996-08-23							232.54	A							101100	A
USGS	08109900	1996-08-24							232.66	A							101900	A
USGS	08109900	1996-08-25							232.72	A							102500	A
USGS	08109900	1996-08-26							232.72	A							106400	A
USGS	08109900	1996-08-27							232.72	A							106200	A
USGS	08109900	1996-08-28							232.74	A							106600	A
USGS	08109900	1996-08-29							232.81	A							107400	A
USGS	08109900	1996-08-30							233.07	A							109700	A
USGS	08109900	1996-08-31							233.25	A							111600	A
USGS	08109900	1996-09-01							233.56	A							114600	A
USGS	08109900	1996-09-02							233.92	A							113600	A
USGS	08109900	1996-09-03							234.14	A							115700	A
USGS	08109900	1996-09-04							234.20	A							116100	A
USGS	08109900	1996-09-05							234.23	A							116300	A
USGS	08109900	1996-09-06							234.23	A							116400	A
USGS	08109900	1996-09-07							234.24	A							116500	A
USGS	08109900	1996-09-08							234.26	A							116800	A
USGS	08109900	1996-09-09							234.28	A							116800	A
USGS	08109900	1996-09-10							234.27	A							116800	A
USGS	08109900	1996-09-11							234.26	A							116700	A
USGS	08109900	1996-09-12							234.26	A							116600	A
USGS	08109900	1996-09-13							234.24	A							116500	A
USGS	08109900	1996-09-14							234.24	A							116400	A
USGS	08109900	1996-09-15							234.24	A							116500	A
USGS	08109900	1996-09-16							234.22	A							116300	A
USGS	08109900	1996-09-17							234.20	A							116100	A
USGS	08109900	1996-09-18							234.44	A							118700	A
USGS	08109900	1996-09-19							235.21	A							126300	A
USGS	08109900	1996-09-20							236.26	A							137200	A
USGS	08109900	1996-09-21							237.16	A							146300	A
USGS	08109900	1996-09-22							237.40	A							148900	A
USGS	08109900	1996-09-23							237.48	A							149800	A
USGS	08109900	1996-09-24							237.52	A							150100	A
USGS	08109900	1996-09-25							237.56	A							150500	A
USGS	08109900	1996-09-26							237.60	A							151100	A
USGS	08109900	1996-09-27							237.63	A							151100	A
USGS	08109900	1996-09-28							237.60	A							151000	A
USGS	08109900	1996-09-29							237.59	A							150900	A
USGS	08109900	1996-09-30							237.58	A							150900	A
USGS	08109900	1996-10-01							237.58	A							150800	A
USGS	08109900	1996-10-02							237.57	A							150600	A
USGS	08109900	1996-10-03							237.55	A							150500	A
USGS	08109900	1996-10-04							237.55	A							150400	A
USGS	08109900	1996-10-05							237.55	A							150400	A
USGS	08109900	1996-10-06							237.56	A							150400	A
USGS	08109900	1996-10-07							237.55	A							150400	A
USGS	08109900	1996-10-08							237.54	A							150300	A
USGS	08109900	1996-10-09							237.53	A							150200	A
USGS	08109900	1996-10-10							237.52	A							150000	A
USGS	08109900	1996-10-11							237.50	A							149800	A
USGS	08109900	1996-10-12							237.49	A							149600	A
USGS	08109900	1996-10-13							237.47	A							149600	A
USGS	08109900	1996-10-14							237.47	A							149500	A
USGS	08109900	1996-10-15							237.47	A							149400	A
USGS	08109900	1996-10-16							237.48	A							149500	A
USGS	08109900	1996-10-17							237.47	A							149400	A
USGS	08109900	1996-10-18							237.44	A							149200	A
USGS	08109900	1996-10-19							237.41	A							148800	A
USGS	08109900	1996-10-20							237.41	A							148800	A
USGS	08109900	1996-10-21							237.45	A							149100	A
USGS	08109900	1996-10-22							237.39	A							148700	A
USGS	08109900	1996-10-23							237.37	A							148300	A
USGS	08109900	1996-10-24							237.38	A							148500	A
USGS	08109900	1996-10-25							237.44	A							149200	A
USGS	08109900	1996-10-26							237.44	A							149300	A
USGS	08109900	1996-10-27							237.48	A							149400	A
USGS	08109900	1996-10-28							237.48	A							149500	A
USGS	08109900	1996-10-29							237.48	A							149600	A
USGS	08109900	1996-10-30							237.48	A							149500	A
USGS	08109900	1996-10-31							237.48	A							149600	A
USGS	08109900	1996-11-01							237.46	A							149400	A
USGS	08109900	1996-11-02							237.43	A							149100	A
USGS	08109900	1996-11-03							237.41	A							148800	A
USGS	08109900	1996-11-04							237.41	A							148800	A
USGS	08109900	1996-11-05							237.40	A							148800	A
USGS	08109900	1996-11-06							237.42	A							149100	A
USGS	08109900	1996-11-07							237.49	A							149600	A
USGS	08109900	1996-11-08							237.45	A							149400	A
USGS	08109900	1996-11-09							237.45	A							149300	A
USGS	08109900	1996-11-10							237.45	A							149200	A
USGS	08109900	1996-11-11							237.44	A							149100	A
USGS	08109900	1996-11-12							237.44	A							149100	A
USGS	08109900	1996-11-13							237.43	A							149100	A
USGS	08109900	1996-11-14							237.42	A							149000	A
USGS	08109900	1996-11-15							237.42	A							149000	A
USGS	08109900	1996-11-16							237.44	A							149200	A
USGS	08109900	1996-11-17							237.44	A							149200	A
USGS	08109900	1996-11-18							237.43	A							149100	A
USGS	08109900	1996-11-19							237.44	A							149200	A
USGS	08109900	1996-11-20							237.45	A							149300	A
USGS	08109900	1996-11-21							237.43	A							149100	A
USGS	08109900	1996-11-22							237.42	A							149000	A
USGS	08109900	1996-11-23							237.42	A							148900	A
USGS	08109900	1996-11-24							237.71	A							151700	A
USGS	08109900	1996-11-25							237.63	A							151300	A
USGS	08109900	1996-11-26							237.61	A							151100	A
USGS	08109900	1996-11-27							237.63	A							151200	A
USGS	08109900	1996-11-28							237.63	A							151200	A
USGS	08109900	1996-11-29							237.69	A							151900	A
USGS	08109900	1996-11-30							237.73	A							152400	A
USGS	08109900	1996-12-01							237.70	A							152100	A
USGS	08109900	1996-12-02							237.71	A							152100	A
USGS	08109900	1996-12-03							237.71	A							152200	A
USGS	08109900	1996-12-04							237.72	A							152600	A
USGS	08109900	1996-12-05							237.73	A							152600	A
USGS	08109900	1996-12-06							237.73	A							152400	A
USGS	08109900	1996-12-07							237.73	A							152400	A
USGS	08109900	1996-12-08							237.73	A							152300	A
USGS	08109900	1996-12-09							237.72	A							152300	A
USGS	08109900	1996-12-10							237.76	A							152600	A
USGS	08109900	1996-12-11							237.76	A							152700	A
USGS	08109900	1996-12-12							237.75	A							152700	A
USGS	08109900	1996-12-13							237.74	A							152600	A
USGS	08109900	1996-12-14							237.76	A							152600	A
USGS	08109900	1996-12-15							237.94	A							154700	A
USGS	08109900	1996-12-16							238.03	A							156000	A
USGS	08109900	1996-12-17							238.08	A							156400	A
USGS	08109900	1996-12-18							238.09	A							156700	A
USGS	08109900	1996-12-19							238.09	A							156500	A
USGS	08109900	1996-12-20							238.10	A							156500	A
USGS	08109900	1996-12-21							238.11	A							156700	A
USGS	08109900	1996-12-22							238.12	A							157000	A
USGS	08109900	1996-12-23							238.15	A							157200	A
USGS	08109900	1996-12-24							238.12	A							156900	A
USGS	08109900	1996-12-25							238.12	A							156900	A
USGS	08109900	1996-12-26							238.15	A							157200	A
USGS	08109900	1996-12-27							238.16	A							157200	A
USGS	08109900	1996-12-28							238.16	A							157400	A
USGS	08109900	1996-12-29							238.17	A							157400	A
USGS	08109900	1996-12-30							238.18	A							157500	A
USGS	08109900	1996-12-31							238.18	A							157600	A
USGS	08109900	1997-01-01							238.18	A							157200	A
USGS	08109900	1997-01-02							238.20	A							157800	A
USGS	08109900	1997-01-03							238.22	A							158000	A
USGS	08109900	1997-01-04							238.21	A							157800	A
USGS	08109900	1997-01-05							238.19	A							157700	A
USGS	08109900	1997-01-06							238.18	A							157500	A
USGS	08109900	1997-01-07							238.21	A							157700	A
USGS	08109900	1997-01-08							238.29	A							158900	A
USGS	08109900	1997-01-09							238.27	A							158600	A
USGS	08109900	1997-01-10							238.22	A							157900	A
USGS	08109900	1997-01-11							238.15	A							157200	A
USGS	08109900	1997-01-12							238.13	A							156900	A
USGS	08109900	1997-01-13							238.09	A							156400	A
USGS	08109900	1997-01-14							238.04	A							155900	A
USGS	08109900	1997-01-15							238.02	A							155700	A
USGS	08109900	1997-01-16							237.99	A							155400	A
USGS	08109900	1997-01-17							238.00	A							155500	A
USGS	08109900	1997-01-18							238.00	A							155500	A
USGS	08109900	1997-01-19							238.01	A							155600	A
USGS	08109900	1997-01-20							238.11	A							157000	A
USGS	08109900	1997-01-21							238.70	A							163800	A
USGS	08109900	1997-01-22							238.90	A							166000	A
USGS	08109900	1997-01-23							238.94	A							166500	A
USGS	08109900	1997-01-24							238.90	A							165900	A
USGS	08109900	1997-01-25							238.81	A							164800	A
USGS	08109900	1997-01-26							238.73	A							163800	A
USGS	08109900	1997-01-27							238.65	A							163000	A
USGS	08109900	1997-01-28							238.51	A							161200	A
USGS	08109900	1997-01-29							238.40	A							160000	A
USGS	08109900	1997-01-30							238.30	A							159000	A
USGS	08109900	1997-01-31							238.23	A							158200	A
USGS	08109900	1997-02-01							238.22	A							158000	A
USGS	08109900	1997-02-02							238.21	A							157800	A
USGS	08109900	1997-02-03							238.19	A							157600	A
USGS	08109900	1997-02-04							238.15	A							157200	A
USGS	08109900	1997-02-05							238.13	A							157000	A
USGS	08109900	1997-02-06							238.10	A							156500	A
USGS	08109900	1997-02-07							238.13	A							156800	A
USGS	08109900	1997-02-08							238.08	A							156300	A
USGS	08109900	1997-02-09							238.06	A							156100	A
USGS	08109900	1997-02-10							238.05	A							156100	A
USGS	08109900	1997-02-11							238.03	A							155900	A
USGS	08109900	1997-02-12															160400	A
USGS	08109900	1997-02-13															165900	A
USGS	08109900	1997-02-14							239.05	A							167900	A
USGS	08109900	1997-02-15							239.11	A							168500	A
USGS	08109900	1997-02-16							239.12	A							168700	A
USGS	08109900	1997-02-17							239.08	A							168100	A
USGS	08109900	1997-02-18							239.00	A							167200	A
USGS	08109900	1997-02-19							238.93	A							166200	A
USGS	08109900	1997-02-20							239.35	A							171900	A
USGS	08109900	1997-02-21							239.80	A							177200	A
USGS	08109900	1997-02-22							240.08	A							180500	A
USGS	08109900	1997-02-23							240.08	A							180400	A
USGS	08109900	1997-02-24							240.01	A							179400	A
USGS	08109900	1997-02-25							239.90	A							178100	A
USGS	08109900	1997-02-26							239.86	A							177700	A
USGS	08109900	1997-02-27							239.79	A							176700	A
USGS	08109900	1997-02-28							239.68	A							175500	A
USGS	08109900	1997-03-01							239.60	A							174300	A
USGS	08109900	1997-03-02							239.66	A							175100	A
USGS	08109900	1997-03-03							239.56	A							173900	A
USGS	08109900	1997-03-04							239.46	A							172500	A
USGS	08109900	1997-03-05							239.32	A							171000	A
USGS	08109900	1997-03-06							239.16	A							169200	A
USGS	08109900	1997-03-07							239.01	A							167200	A
USGS	08109900	1997-03-08							238.88	A							165400	A
USGS	08109900	1997-03-09							238.75	A							164300	A
USGS	08109900	1997-03-10							238.66	A							163100	A
USGS	08109900	1997-03-11							238.56	A							162000	A
USGS	08109900	1997-03-12							238.70	A							163700	A
USGS	08109900	1997-03-13							238.83	A							165100	A
USGS	08109900	1997-03-14							238.86	A							165600	A
USGS	08109900	1997-03-15							238.79	A							164600	A
USGS	08109900	1997-03-16							238.76	A							164500	A
USGS	08109900	1997-03-17							239.01	A							167300	A
USGS	08109900	1997-03-18							239.08	A							168300	A
USGS	08109900	1997-03-19							238.98	A							166900	A
USGS	08109900	1997-03-20							238.88	A							165700	A
USGS	08109900	1997-03-21							238.75	A							164100	A
USGS	08109900	1997-03-22							238.63	A							162700	A
USGS	08109900	1997-03-23							238.49	A							161100	A
USGS	08109900	1997-03-24							238.38	A							159900	A
USGS	08109900	1997-03-25							238.31	A							159000	A
USGS	08109900	1997-03-26							238.21	A							157800	A
USGS	08109900	1997-03-27							238.16	A							157500	A
USGS	08109900	1997-03-28							238.15	A							157200	A
USGS	08109900	1997-03-29							238.14	A							157100	A
USGS	08109900	1997-03-30							238.11	A							156700	A
USGS	08109900	1997-03-31							238.07	A							156300	A
USGS	08109900	1997-04-01							238.08	A							156400	A
USGS	08109900	1997-04-02							238.09	A							156400	A
USGS	08109900	1997-04-03							238.12	A							156900	A
USGS	08109900	1997-04-04							238.19	A							158200	A
USGS	08109900	1997-04-05							238.23	A							158200	A
USGS	08109900	1997-04-06							238.24	A							158300	A
USGS	08109900	1997-04-07							238.28	A							158600	A
USGS	08109900	1997-04-08							238.28	A							158700	A
USGS	08109900	1997-04-09							238.29	A							158900	A
USGS	08109900	1997-04-10							238.25	A							158600	A
USGS	08109900	1997-04-11							238.24	A							158000	A
USGS	08109900	1997-04-12							238.12	A							156900	A
USGS	08109900	1997-04-13							238.08	A							156300	A
USGS	08109900	1997-04-14							238.06	A							156200	A
USGS	08109900	1997-04-15							238.04	A							156000	A
USGS	08109900	1997-04-16							238.03	A							155900	A
USGS	08109900	1997-04-17							238.01	A							155600	A
USGS	08109900	1997-04-18							238.00	A							155500	A
USGS	08109900	1997-04-19							238.02	A							155600	A
USGS	08109900	1997-04-20							238.05	A							156000	A
USGS	08109900	1997-04-21							238.02	A							155700	A
USGS	08109900	1997-04-22							238.02	A							155600	A
USGS	08109900	1997-04-23							237.98	A							155400	A
USGS	08109900	1997-04-24							237.95	A							154800	A
USGS	08109900	1997-04-25							238.17	A							157500	A
USGS	08109900	1997-04-26							238.57	A							161200	A
USGS	08109900	1997-04-27							238.67	A							163400	A
USGS	08109900	1997-04-28							238.65	A							163000	A
USGS	08109900	1997-04-29							238.59	A							162400	A
USGS	08109900	1997-04-30							238.50	A							161300	A
USGS	08109900	1997-05-01							238.42	A							160300	A
USGS	08109900	1997-05-02							238.33	A							159600	A
USGS	08109900	1997-05-03							238.30	A							158900	A
USGS	08109900	1997-05-04							238.24	A							158300	A
USGS	08109900	1997-05-05							238.19	A							157600	A
USGS	08109900	1997-05-06							238.14	A							157100	A
USGS	08109900	1997-05-07							238.13	A							156900	A
USGS	08109900	1997-05-08							238.09	A							156500	A
USGS	08109900	1997-05-09							238.09	A							156500	A
USGS	08109900	1997-05-10							238.07	A							156200	A
USGS	08109900	1997-05-11							238.04	A							156000	A
USGS	08109900	1997-05-12							238.03	A							155900	A
USGS	08109900	1997-05-13							238.01	A							155600	A
USGS	08109900	1997-05-14							238.00	A							155500	A
USGS	08109900	1997-05-15							237.99	A							155400	A
USGS	08109900	1997-05-16							238.00	A							155500	A
USGS	08109900	1997-05-17							238.00	A							155500	A
USGS	08109900	1997-05-18							238.00	A							155500	A
USGS	08109900	1997-05-19							238.03	A							155600	A
USGS	08109900	1997-05-20							238.04	A							156100	A
USGS	08109900	1997-05-21							238.03	A							155900	A
USGS	08109900	1997-05-22							238.04	A							156000	A
USGS	08109900	1997-05-23							238.10	A							156700	A
USGS	08109900	1997-05-24							238.13	A							156900	A
USGS	08109900	1997-05-25							238.14	A							157000	A
USGS	08109900	1997-05-26							238.14	A							157100	A
USGS	08109900	1997-05-27							238.17	A							157100	A
USGS	08109900	1997-05-28							238.14	A							157100	A
USGS	08109900	1997-05-29							238.14	A							157000	A
USGS	08109900	1997-05-30							238.12	A							157100	A
USGS	08109900	1997-05-31							238.16	A							157200	A
USGS	08109900	1997-06-01							238.14	A							157100	A
USGS	08109900	1997-06-02							238.13	A							157000	A
USGS	08109900	1997-06-03							238.11	A							156800	A
USGS	08109900	1997-06-04							238.10	A							156700	A
USGS	08109900	1997-06-05							238.09	A							156400	A
USGS	08109900	1997-06-06							238.18	A							157500	A
USGS	08109900	1997-06-07							238.32	A							159200	A
USGS	08109900	1997-06-08							238.40	A							160100	A
USGS	08109900	1997-06-09							238.54	A							161900	A
USGS	08109900	1997-06-10							238.90	A							166000	A
USGS	08109900	1997-06-11							239.01	A							167300	A
USGS	08109900	1997-06-12							239.03	A							167500	A
USGS	08109900	1997-06-13							238.96	A							166600	A
USGS	08109900	1997-06-14							238.89	A							165900	A
USGS	08109900	1997-06-15							238.80	A							164800	A
USGS	08109900	1997-06-16							238.70	A							163700	A
USGS	08109900	1997-06-17							238.78	A							164600	A
USGS	08109900	1997-06-18							238.82	A							165100	A
USGS	08109900	1997-06-19							238.81	A							164800	A
USGS	08109900	1997-06-20							238.73	A							163900	A
USGS	08109900	1997-06-21							238.71	A							163800	A
USGS	08109900	1997-06-22							238.75	A							164300	A
USGS	08109900	1997-06-23							238.69	A							163400	A
USGS	08109900	1997-06-24							238.60	A							162500	A
USGS	08109900	1997-06-25							238.50	A							161200	A
USGS	08109900	1997-06-26							238.39	A							159900	A
USGS	08109900	1997-06-27							238.28	A							158700	A
USGS	08109900	1997-06-28							238.17	A							157400	A
USGS	08109900	1997-06-29							238.06	A							156100	A
USGS	08109900	1997-06-30							238.01	A							155500	A
USGS	08109900	1997-07-01							237.99	A							155400	A
USGS	08109900	1997-07-02							237.99	A							155300	A
USGS	08109900	1997-07-03							237.96	A							155100	A
USGS	08109900	1997-07-04							237.94	A							154900	A
