# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database 
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-12-30 09:17:43 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08064550 Richland-Chambers Res nr Kerens, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 08064550
#            TS   parameter     statistic     Description
#        133900       00054     00001     Reservoir storage, acre-feet (Maximum)
#        133901       00054     00002     Reservoir storage, acre-feet (Minimum)
#        133902       00054     00003     Reservoir storage, acre-feet (Mean)
#        133903       00054     32400     Reservoir storage, acre-feet (Observation at midnight)
#        133904       62614     00001     Lake or reservoir water surface elevation above NGVD 1929, feet (Maximum)
#        133905       62614     00002     Lake or reservoir water surface elevation above NGVD 1929, feet (Minimum)
#        133906       62614     00003     Lake or reservoir water surface elevation above NGVD 1929, feet (Mean)
#        133907       62614     32400     Lake or reservoir water surface elevation above NGVD 1929, feet (Observation at midnight)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	133900_00054_00001	133900_00054_00001_cd	133901_00054_00002	133901_00054_00002_cd	133902_00054_00003	133902_00054_00003_cd	133904_62614_00001	133904_62614_00001_cd	133905_62614_00002	133905_62614_00002_cd	133906_62614_00003	133906_62614_00003_cd
USGS	08064550	2011-03-08	1035000	A	1031000	A	1032000	A	313.13	A	313.03	A	313.07	A
USGS	08064550	2011-03-09	1033000	A	1031000	A	1032000	A	313.09	A	313.03	A	313.06	A
USGS	08064550	2011-03-10	1032000	A	1031000	A	1031000	A	313.06	A	313.03	A	313.04	A
USGS	08064550	2011-03-11	1032000	A	1030000	A	1031000	A	313.05	A	313.01	A	313.03	A
USGS	08064550	2011-03-12	1031000	A	1029000	A	1030000	A	313.04	A	312.99	A	313.02	A
USGS	08064550	2011-03-13	1030000	A	1029000	A	1029000	A	313.02	A	312.98	A	313.00	A
USGS	08064550	2011-03-14	1030000	A	1027000	A	1028000	A	313.02	A	312.94	A	312.97	A
USGS	08064550	2011-03-15	1029000	A	1027000	A	1028000	A	312.98	A	312.94	A	312.96	A
USGS	08064550	2011-03-16	1028000	A	1027000	A	1027000	A	312.97	A	312.94	A	312.95	A
USGS	08064550	2011-03-17	1029000	A	1027000	A	1028000	A	313.00	A	312.93	A	312.95	A
USGS	08064550	2011-03-18	1028000	A	1026000	A	1027000	A	312.97	A	312.92	A	312.94	A
USGS	08064550	2011-03-19	1027000	A	1026000	A	1026000	A	312.94	A	312.91	A	312.92	A
USGS	08064550	2011-03-20	1027000	A	1025000	A	1026000	A	312.94	A	312.89	A	312.91	A
USGS	08064550	2011-03-21	1027000	A	1025000	A	1025000	A	312.94	A	312.89	A	312.91	A
USGS	08064550	2011-03-22	1028000	A	1024000	A	1026000	A	312.97	A	312.86	A	312.91	A
USGS	08064550	2011-03-23	1026000	A	1023000	A	1024000	A	312.91	A	312.85	A	312.87	A
USGS	08064550	2011-03-24	1023000	A	1022000	A	1022000	A	312.85	A	312.82	A	312.83	A
USGS	08064550	2011-03-25	1024000	A	1022000	A	1022000	A	312.87	A	312.81	A	312.83	A
USGS	08064550	2011-03-26	1023000	A	1019000	A	1022000	A	312.85	A	312.76	A	312.81	A
USGS	08064550	2011-03-27	1021000	A	1019000	A	1020000	A	312.80	A	312.75	A	312.77	A
USGS	08064550	2011-03-28	1020000	A	1018000	A	1019000	A	312.78	A	312.72	A	312.74	A
USGS	08064550	2011-03-29	1019000	A	1017000	A	1018000	A	312.75	A	312.69	A	312.72	A
USGS	08064550	2011-03-30	1017000	A	1016000	A	1017000	A	312.71	A	312.67	A	312.70	A
USGS	08064550	2011-03-31	1017000	A	1016000	A	1016000	A	312.70	A	312.67	A	312.68	A
USGS	08064550	2011-04-01	1017000	A	1015000	A	1016000	A	312.71	A	312.65	A	312.67	A
USGS	08064550	2011-04-02	1015000	A	1014000	A	1015000	A	312.66	A	312.64	A	312.66	A
USGS	08064550	2011-04-03	1017000	A	1014000	A	1016000	A	312.70	A	312.63	A	312.67	A
USGS	08064550	2011-04-04	1019000	A	1012000	A	1015000	A	312.74	A	312.58	A	312.65	A
USGS	08064550	2011-04-05	1014000	A	1013000	A	1013000	A	312.64	A	312.60	A	312.62	A
USGS	08064550	2011-04-06	1015000	A	1012000	A	1013000	A	312.66	A	312.57	A	312.61	A
USGS	08064550	2011-04-07	1013000	A	1010000	A	1012000	A	312.61	A	312.54	A	312.57	A
USGS	08064550	2011-04-08	1013000	A	1010000	A	1011000	A	312.60	A	312.54	A	312.56	A
USGS	08064550	2011-04-09	1012000	A	1009000	A	1011000	A	312.59	A	312.52	A	312.56	A
USGS	08064550	2011-04-10	1012000	A	1009000	A	1011000	A	312.59	A	312.51	A	312.55	A
USGS	08064550	2011-04-11	1014000	A	1008000	A	1010000	A	312.62	A	312.48	A	312.54	A
USGS	08064550	2011-04-12	1010000	A	1008000	A	1009000	A	312.53	A	312.49	A	312.51	A
USGS	08064550	2011-04-13	1009000	A	1007000	A	1008000	A	312.50	A	312.47	A	312.48	A
USGS	08064550	2011-04-14	1010000	A	1007000	A	1008000	A	312.54	A	312.46	A	312.48	A
USGS	08064550	2011-04-15	1012000	A	1005000	A	1008000	A	312.58	A	312.42	A	312.49	A
USGS	08064550	2011-04-16	1007000	A	1004000	A	1005000	A	312.45	A	312.38	A	312.41	A
USGS	08064550	2011-04-17	1006000	A	1003000	A	1004000	A	312.44	A	312.36	A	312.39	A
USGS	08064550	2011-04-18	1004000	A	1002000	A	1003000	A	312.40	A	312.35	A	312.38	A
USGS	08064550	2011-04-19	1005000	A	999900	A	1003000	A	312.41	A	312.29	A	312.37	A
USGS	08064550	2011-04-20	1003000	A	1000000	A	1001000	A	312.36	A	312.30	A	312.32	A
USGS	08064550	2011-04-21	1002000	A	999400	A	1001000	A	312.34	A	312.28	A	312.31	A
USGS	08064550	2011-04-22	1004000	A	998200	A	1001000	A	312.40	A	312.25	A	312.32	A
USGS	08064550	2011-04-23	1002000	A	997400	A	999900	A	312.33	A	312.23	A	312.29	A
USGS	08064550	2011-04-24	1000000	A	997400	A	998900	A	312.30	A	312.23	A	312.27	A
USGS	08064550	2011-04-25	1004000	A	996500	A	999100	A	312.40	A	312.21	A	312.27	A
USGS	08064550	2011-04-26	1007000	A	1001000	A	1003000	A	312.46	A	312.31	A	312.37	A
USGS	08064550	2011-04-27	1010000	A	1005000	A	1007000	A	312.53	A	312.41	A	312.46	A
USGS	08064550	2011-04-28	1007000	A	1006000	A	1007000	A	312.47	A	312.44	A	312.46	A
USGS	08064550	2011-04-29	1008000	A	1006000	A	1007000	A	312.49	A	312.44	A	312.46	A
USGS	08064550	2011-04-30	1009000	A	1004000	A	1006000	A	312.50	A	312.40	A	312.44	A
USGS	08064550	2011-05-01	1007000	A	1003000	A	1005000	A	312.46	A	312.36	A	312.42	A
USGS	08064550	2011-05-02	1005000	A	1002000	A	1004000	A	312.41	A	312.34	A	312.38	A
USGS	08064550	2011-05-03	1004000	A	1002000	A	1003000	A	312.38	A	312.33	A	312.35	A
USGS	08064550	2011-05-04	1003000	A	1002000	A	1002000	A	312.36	A	312.33	A	312.34	A
USGS	08064550	2011-05-05	1003000	A	1001000	A	1001000	A	312.36	A	312.31	A	312.33	A
USGS	08064550	2011-05-06	1002000	A	1000000	A	1001000	A	312.33	A	312.30	A	312.32	A
USGS	08064550	2011-05-07	1003000	A	999400	A	1001000	A	312.36	A	312.28	A	312.31	A
USGS	08064550	2011-05-08	1001000	A	998600	A	999600	A	312.31	A	312.26	A	312.28	A
USGS	08064550	2011-05-09	1000000	A	998200	A	999100	A	312.30	A	312.25	A	312.27	A
USGS	08064550	2011-05-10	999400	A	993200	A	998000	A	312.28	A	312.13	A	312.24	A
USGS	08064550	2011-05-11	1009000	A	994400	A	998200	A	312.51	A	312.16	A	312.25	A
USGS	08064550	2011-05-12	1012000	A	997400	A	1004000	A	312.58	A	312.23	A	312.38	A
USGS	08064550	2011-05-13	1004000	A	1002000	A	1003000	A	312.39	A	312.33	A	312.36	A
USGS	08064550	2011-05-14	1002000	A	1000000	A	1001000	A	312.35	A	312.30	A	312.33	A
USGS	08064550	2011-05-15	1001000	A	999400	A	1000000	A	312.31	A	312.28	A	312.30	A
USGS	08064550	2011-05-16	999900	A	997800	A	998900	A	312.29	A	312.24	A	312.27	A
USGS	08064550	2011-05-17	998600	A	997400	A	997900	A	312.26	A	312.23	A	312.24	A
USGS	08064550	2011-05-18	998600	A	996100	A	997400	A	312.26	A	312.20	A	312.23	A
USGS	08064550	2011-05-19	998600	A	995300	A	996300	A	312.26	A	312.18	A	312.20	A
USGS	08064550	2011-05-20	1001000	A	994900	A	996300	A	312.31	A	312.17	A	312.21	A
USGS	08064550	2011-05-21	999900	A	997400	A	998500	A	312.29	A	312.23	A	312.26	A
USGS	08064550	2011-05-22	999400	A	996900	A	998200	A	312.28	A	312.22	A	312.25	A
USGS	08064550	2011-05-23	999000	A	996500	A	997700	A	312.27	A	312.21	A	312.24	A
USGS	08064550	2011-05-24	999000	A	995300	A	996700	A	312.27	A	312.18	A	312.22	A
USGS	08064550	2011-05-25	999000	A	993600	A	995600	A	312.27	A	312.14	A	312.19	A
USGS	08064550	2011-05-26	994400	A	992800	A	993400	A	312.16	A	312.12	A	312.14	A
USGS	08064550	2011-05-27	994400	A	991500	A	992700	A	312.16	A	312.09	A	312.12	A
USGS	08064550	2011-05-28	994000	A	990700	A	992200	A	312.15	A	312.07	A	312.11	A
USGS	08064550	2011-05-29	991500	A	989000	A	990500	A	312.09	A	312.03	A	312.07	A
USGS	08064550	2011-05-30	990300	A	987400	A	988900	A	312.06	A	311.99	A	312.03	A
USGS	08064550	2011-05-31	989000	A	987000	A	987500	A	312.03	A	311.98	A	311.99	A
USGS	08064550	2011-06-01	987400	A	986200	A	986800	A	311.99	A	311.96	A	311.97	A
USGS	08064550	2011-06-02	987000	A	985500	A	986000	A	311.98	A	311.94	A	311.95	A
USGS	08064550	2011-06-03	985800	A	984300	A	985000	A	311.95	A	311.91	A	311.93	A
USGS	08064550	2011-06-04	985100	A	983100	A	983800	A	311.93	A	311.88	A	311.90	A
USGS	08064550	2011-06-05	983900	A	979700	A	982800	A	311.90	A	311.79	A	311.87	A
USGS	08064550	2011-06-06	982400	A	980400	A	981600	A	311.86	A	311.81	A	311.84	A
USGS	08064550	2011-06-07	982000	A	980400	A	980900	A	311.85	A	311.81	A	311.82	A
USGS	08064550	2011-06-08	981600	A	978900	A	979900	A	311.84	A	311.77	A	311.80	A
USGS	08064550	2011-06-09	980000	A	977300	A	978500	A	311.80	A	311.73	A	311.76	A
USGS	08064550	2011-06-10	978100	A	976200	A	977000	A	311.75	A	311.70	A	311.72	A
USGS	08064550	2011-06-11	977300	A	975400	A	975900	A	311.73	A	311.68	A	311.69	A
USGS	08064550	2011-06-12	976200	A	973900	A	974800	A	311.70	A	311.64	A	311.66	A
USGS	08064550	2011-06-13	975400	A	972700	A	973500	A	311.68	A	311.61	A	311.63	A
USGS	08064550	2011-06-14	974200	A	971200	A	972500	A	311.65	A	311.57	A	311.61	A
USGS	08064550	2011-06-15	972700	A	969600	A	970600	A	311.61	A	311.53	A	311.55	A
USGS	08064550	2011-06-16	970800	A	968500	A	969800	A	311.56	A	311.50	A	311.54	A
USGS	08064550	2011-06-17	970000	A	966900	A	968800	A	311.54	A	311.46	A	311.51	A
USGS	08064550	2011-06-18	968500	A	965400	A	966800	A	311.50	A	311.42	A	311.46	A
USGS	08064550	2011-06-19	968500	A	963000	A	965200	A	311.50	A	311.36	A	311.42	A
USGS	08064550	2011-06-20	965400	A	961100	A	963300	A	311.42	A	311.31	A	311.37	A
USGS	08064550	2011-06-21	962300	A	957600	A	960500	A	311.34	A	311.22	A	311.29	A
USGS	08064550	2011-06-22	971200	A	960000	A	969500	A	311.57	A	311.28	A	311.53	A
USGS	08064550	2011-06-23	971200	A	970000	A	970500	A	311.57	A	311.54	A	311.55	A
USGS	08064550	2011-06-24	971200	A	969200	A	970300	A	311.57	A	311.52	A	311.55	A
USGS	08064550	2011-06-25	970800	A	968800	A	969800	A	311.56	A	311.51	A	311.53	A
USGS	08064550	2011-06-26	969600	A	967300	A	968700	A	311.53	A	311.47	A	311.51	A
USGS	08064550	2011-06-27	969200	A	965700	A	967300	A	311.52	A	311.43	A	311.47	A
USGS	08064550	2011-06-28	967700	A	963400	A	965700	A	311.48	A	311.37	A	311.43	A
USGS	08064550	2011-06-29	966900	A	963800	A	964400	A	311.46	A	311.38	A	311.40	A
USGS	08064550	2011-06-30	964600	A	961500	A	963300	A	311.40	A	311.32	A	311.37	A
USGS	08064550	2011-07-01	963800	A	961500	A	962300	A	311.38	A	311.32	A	311.34	A
USGS	08064550	2011-07-02	962700	A	959200	A	961400	A	311.35	A	311.26	A	311.32	A
USGS	08064550	2011-07-03	961500	A	959200	A	960300	A	311.32	A	311.26	A	311.29	A
USGS	08064550	2011-07-04	960700	A	958400	A	959100	A	311.30	A	311.24	A	311.26	A
USGS	08064550	2011-07-05	958800	A	956500	A	957800	A	311.25	A	311.19	A	311.22	A
USGS	08064550	2011-07-06					957000	A:e						
USGS	08064550	2011-07-07					955800	A:e						
USGS	08064550	2011-07-08	956100	A	953800	A	954500	A	311.18	A	311.12	A	311.14	A
USGS	08064550	2011-07-09	954200	A	952600	A	953200	A	311.13	A	311.09	A	311.10	A
USGS	08064550	2011-07-10	953000	A	950700	A	951600	A	311.10	A	311.04	A	311.06	A
USGS	08064550	2011-07-11	951500	A	949100	A	950100	A	311.06	A	311.00	A	311.02	A
USGS	08064550	2011-07-12	950300	A	948000	A	948900	A	311.03	A	310.97	A	310.99	A
USGS	08064550	2011-07-13	949100	A	946800	A	947700	A	311.00	A	310.94	A	310.96	A
USGS	08064550	2011-07-14	947600	A	944500	A	946400	A	310.96	A	310.88	A	310.93	A
USGS	08064550	2011-07-15	945700	A	943700	A	944900	A	310.91	A	310.86	A	310.89	A
USGS	08064550	2011-07-16	944500	A	942600	A	943400	A	310.88	A	310.83	A	310.85	A
USGS	08064550	2011-07-17	943000	A	941000	A	942100	A	310.84	A	310.79	A	310.82	A
USGS	08064550	2011-07-18	941400	A	939500	A	940800	A	310.80	A	310.75	A	310.78	A
USGS	08064550	2011-07-19	941000	A	938700	A	939600	A	310.79	A	310.73	A	310.75	A
USGS	08064550	2011-07-20	939500	A	937500	A	938400	A	310.75	A	310.70	A	310.72	A
USGS	08064550	2011-07-21	938300	A	936400	A	937200	A	310.72	A	310.67	A	310.69	A
USGS	08064550	2011-07-22	937200	A	934500	A	935700	A	310.69	A	310.62	A	310.65	A
USGS	08064550	2011-07-23	935600	A	932900	A	934000	A	310.65	A	310.58	A	310.61	A
USGS	08064550	2011-07-24	934100	A	931400	A	932300	A	310.61	A	310.54	A	310.56	A
USGS	08064550	2011-07-25	932100	A	929400	A	930700	A	310.56	A	310.49	A	310.52	A
USGS	08064550	2011-07-26	930200	A	928300	A	929100	A	310.51	A	310.46	A	310.48	A
USGS	08064550	2011-07-27	928700	A	924400	A	927600	A	310.47	A	310.36	A	310.44	A
USGS	08064550	2011-07-28	926700	A	925600	A	926400	A	310.42	A	310.39	A	310.41	A
USGS	08064550	2011-07-29	926000	A	924000	A	925100	A	310.40	A	310.35	A	310.38	A
USGS	08064550	2011-07-30	924400	A	923200	A	923900	A	310.36	A	310.33	A	310.35	A
USGS	08064550	2011-07-31	923200	A	922500	A	922700	A	310.33	A	310.31	A	310.32	A
USGS	08064550	2011-08-01	922500	A	920900	A	921700	A	310.31	A	310.27	A	310.29	A
USGS	08064550	2011-08-02	920900	A	920200	A	920400	A	310.27	A	310.25	A	310.26	A
USGS	08064550	2011-08-03	920200	A	918200	A	918900	A	310.25	A	310.20	A	310.22	A
USGS	08064550	2011-08-04	918200	A	916700	A	917400	A	310.20	A	310.16	A	310.18	A
USGS	08064550	2011-08-05	916700	A	914800	A	915700	A	310.16	A	310.11	A	310.13	A
USGS	08064550	2011-08-06	914800	A	913200	A	914100	A	310.11	A	310.07	A	310.09	A
USGS	08064550	2011-08-07	913200	A	911700	A	912400	A	310.07	A	310.03	A	310.05	A
USGS	08064550	2011-08-08	911700	A	910100	A	910700	A	310.03	A	309.99	A	310.01	A
USGS	08064550	2011-08-09	910100	A	908200	A	908900	A	309.99	A	309.94	A	309.96	A
USGS	08064550	2011-08-10	908200	A	905900	A	906800	A	309.94	A	309.88	A	309.90	A
USGS	08064550	2011-08-11					905400	A:e						
USGS	08064550	2011-08-12	904300	A	902800	A	903600	A	309.84	A	309.80	A	309.82	A
USGS	08064550	2011-08-13	902800	A	900500	A	901900	A	309.80	A	309.74	A	309.78	A
USGS	08064550	2011-08-14	900500	A	899300	A	900200	A	309.74	A	309.71	A	309.73	A
USGS	08064550	2011-08-15	899700	A	898500	A	899000	A	309.72	A	309.69	A	309.70	A
USGS	08064550	2011-08-16	899300	A	896600	A	897500	A	309.71	A	309.64	A	309.66	A
USGS	08064550	2011-08-17	897400	A	894700	A	895600	A	309.66	A	309.59	A	309.61	A
USGS	08064550	2011-08-18	895400	A	893100	A	894200	A	309.61	A	309.55	A	309.58	A
USGS	08064550	2011-08-19	893500	A	891600	A	892600	A	309.56	A	309.51	A	309.54	A
USGS	08064550	2011-08-20	892300	A	890400	A	891200	A	309.53	A	309.48	A	309.50	A
USGS	08064550	2011-08-21	891200	A	888900	A	889700	A	309.50	A	309.44	A	309.46	A
USGS	08064550	2011-08-22	889300	A	886900	A	888200	A	309.45	A	309.39	A	309.42	A
USGS	08064550	2011-08-23	888100	A	885800	A	886500	A	309.42	A	309.36	A	309.38	A
USGS	08064550	2011-08-24	887300	A	878400	A	884800	A	309.40	A	309.17	A	309.33	A
USGS	08064550	2011-08-25	885000	A	882300	A	883300	A	309.34	A	309.27	A	309.30	A
USGS	08064550	2011-08-26	882700	A	880800	A	881700	A	309.28	A	309.23	A	309.25	A
USGS	08064550	2011-08-27	881100	A	879200	A	880000	A	309.24	A	309.19	A	309.21	A
USGS	08064550	2011-08-28	879200	A	877700	A	878400	A	309.19	A	309.15	A	309.17	A
USGS	08064550	2011-08-29	878000	A	875700	A	876800	A	309.16	A	309.10	A	309.13	A
USGS	08064550	2011-08-30	876100	A	874200	A	875000	A	309.11	A	309.06	A	309.08	A
USGS	08064550	2011-08-31	875300	A	872600	A	873500	A	309.09	A	309.02	A	309.04	A
USGS	08064550	2011-09-01	873000	A	871100	A	871800	A	309.03	A	308.98	A	309.00	A
USGS	08064550	2011-09-02	871500	A	868800	A	870100	A	308.99	A	308.92	A	308.95	A
USGS	08064550	2011-09-03	869500	A	866100	A	867700	A	308.94	A	308.85	A	308.89	A
USGS	08064550	2011-09-04	866500	A	861000	A	864200	A	308.86	A	308.72	A	308.80	A
